category,datetime,headline,id,image,related,source,summary,url
company,1629227100,"Pentair PLC stock falls Tuesday, underperforms market",69714022,https://images.mktw.net/im-220105/social,PNR,MarketWatch,"Shares of Pentair PLC shed 1.76% to $78.89 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=82b252f7c93678cd806c8da1f1031dcde604fcda0ea5a8ee905b89473dc5e278
company,1629141970,Calculating The Fair Value Of Pentair plc (NYSE:PNR),69689433,https://s.yimg.com/uu/api/res/1.2/q0yRN_h1fYD6SjjSkWx5lg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/4afa9747177650711578ccd57242a6b7,PNR,Yahoo,"Does the August share price for Pentair plc ( NYSE:PNR ) reflect what it's really worth? Today, we will estimate the...",https://finnhub.io/api/news?id=b37158c2a8c3e24361d2a587bd0d50c8a4f66e9d42f7c1f95b5bd411cba61cb4
company,1629134220,"Pentair PLC stock rises Monday, outperforms market",69714023,https://images.mktw.net/im-220105/social,PNR,MarketWatch,"Shares of Pentair PLC rose 1.01% to $80.30 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=5c609ae558cc14369ba2394f3f5f4447840a1eea0c8dfc22c9368c7b4dedfe3b
company,1628874960,Pentair PLC stock outperforms market on strong trading day,69664421,https://images.mktw.net/im-220105/social,PNR,MarketWatch,"Shares of Pentair PLC inched 0.20% higher to $79.50 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=d8ba6c1cae87210600169b0aee8c4dc8cce778ad425610b863f054b26e686ea3
company,1628849640,Stocks That Hit 52-Week Highs On Friday,69654377,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,PNR,Benzinga," 
 
During Friday's morning session, 137 companies made new 52-week highs.
Areas of Significance:

Johnson & Johnson (NYSE:JNJ) was the largest company by market...",https://finnhub.io/api/news?id=919cfcf8895b927cd8d83d2ddf6a052a70eae18899fc75129ed7e7bc069e8da4
company,1628788620,"Pentair PLC stock rises Thursday, still underperforms market",69643541,https://images.mktw.net/im-220105/social,PNR,MarketWatch,"Shares of Pentair PLC inched 0.10% higher to $79.34 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=d4fca3f64803ae44100bc30101ca7163bdafddf229bd1dddb0a590e9e9aacc43
company,1628702160,Pentair PLC stock outperforms competitors on strong trading day,69636550,https://images.mktw.net/im-220105/social,PNR,MarketWatch,"Shares of Pentair PLC rallied 2.14% to $79.26 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=f57c7b3cf9ee45fc2d115f3e3523dcc5390b336e6d9d1db04df9545c3c5b5405
company,1628615820,"Pentair PLC stock rises Tuesday, outperforms market",69636553,https://images.mktw.net/im-220105/social,PNR,MarketWatch,"Shares of Pentair PLC rallied 1.03% to $77.60 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=61d13fae9abe2aab7f1719378986c70606752521b85da612d5e29781c5a307a7
company,1628600821,Beverage Can Demand to Aid Ball Corp (BLL) Amid High Costs,69597298,https://s.yimg.com/uu/api/res/1.2/lY3wr_2PWydraW.rjQZlyA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6e0eea77024f8a02b541f11695d7c6a6,PNR,Yahoo,The rising trend in global beverage can demand will aid Ball Corp's (BLL) top-line performance. It is investing to expand production capacity but has to deal with higher start-up costs.,https://finnhub.io/api/news?id=6cdef60a55955b4638d60d30ae7a8ffc4749da8793b88540ddb9ceb45a4faf89
company,1628593751,Sonoco (SON) Hikes Prices for Uncoated Recycled Paperboard,69593775,https://s.yimg.com/uu/api/res/1.2/hDpSko1HUDi_p6h9OqJoPA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c8dc2798a1c87d5c9133ae48bac284a0,PNR,Yahoo,Sonoco (SON) is implementing price-rise actions for all grades of uncoated recycled paperboard in the United States and Canada in response to solid demand and the rapidly-increasing raw-material costs.,https://finnhub.io/api/news?id=b5436f7b2573fa97a79af97b15f52abb27badaaacb1d888d3b6407d80078e69a
company,1628529360,"Pentair PLC stock falls Monday, underperforms market",69636556,https://images.mktw.net/im-220105/social,PNR,MarketWatch,"Shares of Pentair PLC slid 0.38% to $76.81 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=4cc06aa0ce787f0184c913ed4093e3843cc80dc8f9f17c18a2c306463df8eb3b
company,1628326800,A Simple Guide To Better Trading,69562055,,PNR,TalkMarkets,,https://finnhub.io/api/news?id=470383cd0b1f1362a80b387bc6f9379d02b5a16e2d4ceccc2722a53c51b839a4
company,1628270160,"Pentair PLC stock rises Friday, outperforms market",69565468,https://images.mktw.net/im-220105/social,PNR,MarketWatch,"Shares of Pentair PLC inched 0.84% higher to $77.10 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=53d5575ab3272f8237b7e3425ba0aa175edc868290333f2b79ac32d8856d15b0
company,1628183760,Pentair PLC stock underperforms Thursday when compared to competitors,69565469,https://images.mktw.net/im-220105/social,PNR,MarketWatch,"Shares of Pentair PLC sank 0.22% to $76.46 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=c45de009f360c5e3bb48966b706b21be478309de567843baa3e05477512288bf
company,1628134278,NOBL: Dividend Aristocrats ETF Review,69510552,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/514107715/medium_image_514107715.jpg,PNR,SeekingAlpha,"NOBL has been tracking the S&P 500 Dividend Aristocrats Index since 10/09/2013. Click here to read more about NOBL's strategy and portfolio, past performance, valuation and quality metrics.",https://finnhub.io/api/news?id=94041f04076383c4da1773c7b462a11625809f8804ba7365ea1502599223f49d
company,1628097360,Pentair PLC stock outperforms competitors despite losses on the day,69511167,https://images.mktw.net/im-220105/social,PNR,MarketWatch,"Shares of Pentair PLC slumped 0.16% to $76.63 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=548ba86d8292490ad76d227f5d07644dd003e5a2ea76ea67b160e365fd3b2a2b
company,1628083561,"Timken (TKR) Earnings Miss Estimates in Q2, Improve Y/Y",69491122,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,PNR,Yahoo,Timken (TKR) second-quarter 2021 results gain on strong growth across most end-market sectors. This momentum is expected to continue and offset cost inflation and lead to record earnings in 2021.,https://finnhub.io/api/news?id=2dccc775345fe63185822f6f4b62848d8d7c932baba355e3712e478babc6e82c
company,1628079972,"O-I Glass (OI) Beats on Q2 Earnings & Sales, Hikes 2021 View",69490339,https://s.yimg.com/uu/api/res/1.2/tJSJwSl7HgelhE.c44Ah1w--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b6d51ee4557eb00251dc69bec76daaed,PNR,Yahoo,O-I Glass' (OI) Q2 results gain from improved sales and production volumes as well as solid operating and cost performance.,https://finnhub.io/api/news?id=4912683100436b401e83af4f0eabe56de325414bf05e4f2d04a291a90729353b
company,1628010960,"Pentair PLC stock rises Tuesday, outperforms market",69483446,https://images.mktw.net/im-220105/social,PNR,MarketWatch,"Shares of Pentair PLC advanced 3.09% to $76.75 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=317fb6c8fa4958cf4a978361a2ec68268a051c86ca00d2d9cc8e5a2190586808
company,1628005263,"Terex (TEX) Q2 Earnings & Revenues Top Estimates, Ups '21 View",69472407,https://s.yimg.com/uu/api/res/1.2/hW4eVEqvD1PC9.jVQAoI_g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a3fb7a04f19defa80465e7d44efab77c,PNR,Yahoo,"Terex's (TEX) better-than-expected earnings and revenues in second-quarter 2021 were aided by improving end markets, which poises it well for improved results for the year.",https://finnhub.io/api/news?id=b7d296158e3af6427211c6fc50f5150909017293078bff99fdb459ed2017760e
company,1628004903,AptarGroup (ATR) Shares Decline as Q2 Earnings Lag Estimates,69474586,https://s.yimg.com/uu/api/res/1.2/e5GhNeCVjzGX0CpZg4q8KQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/668dc76feff78f39e7b30342e7b3db93,PNR,Yahoo,AptarGroup's (ATR) second-quarter 2021 top line improves on increased demand for the company's dispensing solutions.,https://finnhub.io/api/news?id=73b38d10429981c1db873985579d9d8e152530838a4a9f5fd612c5aea3d4df96
