category,datetime,headline,id,image,related,source,summary,url
company,1629201600,Oracle Cloud on the Menu for Burger King and Church's Texas Chicken in Mexico,69693488,https://s.yimg.com/uu/api/res/1.2/oslYb_NGAhmY9yVtgGUzpg--~B/aD0xMjQ7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/fcf15a6fea0a84d064ee90bccdfcf4cb,ORCL,Yahoo,"Corporativo GES operates more than 30 Burger King and Church's Texas Chicken franchises in Mexico. With the pandemic putting a strain on restaurants, the fast-growing operator knew it needed to move to the cloud to improve the efficiency of its operations. Today, Oracle MICROS Simphony Point-of-Sale (POS) is helping Corporativo GES to remotely manage its entire business on just one system. With built-in restaurant data and analytics, the operator can make faster, more-informed decisions and is i",https://finnhub.io/api/news?id=769694e62507807e0758636c5ba73873c04dba875e9c72047009dc70c0b7fc55
company,1629195180,Stocks That Hit 52-Week Highs On Tuesday,69696539,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,ORCL,Benzinga," 
 
Before 10 a.m. ET on Tuesday, 55 companies set new 52-week highs.
Points of Interest:

Apple (NASDAQ:AAPL) was the largest company by market cap to set a new 52-week...",https://finnhub.io/api/news?id=89bff3b255cda39ced7d3d82f57abf75db82808a9d92ace05c0fdecc8b10cf14
company,1629187200,Oracle Cloud on the Menu for Burger King and Church's Texas Chicken in Mexico,69698372,,ORCL,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=85bd006484270c7ed9f5c4fd8c37b570dd2028cf6dbdedd31176dfb9c25bf156
company,1629185580,6 Great Ways To Hedge Your Portfolio From The Pending Market Crash,69717147,,ORCL,TalkMarkets,,https://finnhub.io/api/news?id=0b5e84094e6c34fdd4180b66ddc97d2092b23dd7f31c38165de9c252b0931116
company,1629183360,5 Buy-Rated Red-Hot Tech Stocks With Huge Share Buybacks,69695269,https://247wallst.com/wp-content/uploads/2018/11/imageforentry4107.jpg,ORCL,247WallSt,"These five tech stocks have had an awesome 2021 and look poised to trade much higher. Each has been a big purchaser of its own shares as well, and Goldman Sachs sees more of the same for the rest of this year.",https://finnhub.io/api/news?id=30cc1dbb171b386789c604a43f1681e74bba2e4f7e9596befcd8076156033956
company,1629167940,"Destination Wealth Management Buys ISHARES TRUST, Intercontinental Exchange Inc, iShares Core 5-10 Year USD Bond ETF, Sells Vontier Corp, Viatris Inc, Vanguard Total International Bond ETF",69716490,,ORCL,GuruFocus,,https://finnhub.io/api/news?id=81ed1ceae632bc0167d37d99c08c1907eea7d0dc74c26096946fabab1ec97816
company,1629150309,Oracle (ORCL) Outpaces Stock Market Gains: What You Should Know,69686595,https://s.yimg.com/uu/api/res/1.2/kz0ozt3ejWMPXKci2JxOBw--~B/aD03NTQ7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/d7dcbe11345e3f8e5e71e6827fe3c4c9,ORCL,Yahoo,"Oracle (ORCL) closed at $90.82 in the latest trading session, marking a +0.49% move from the prior day.",https://finnhub.io/api/news?id=1907e82345321a5499f735bcecbc37b3b725f0c6d34f3b996a82afefb6279a57
company,1629134878,Is Oracle Corporation (NYSE:ORCL) Trading At A 28% Discount?,69682979,https://s.yimg.com/uu/api/res/1.2/lpX7c9PHYzmCS5OHPTih9A--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/7cfe18e4eec888a4960fba10323477cb,ORCL,Yahoo,"Does the August share price for Oracle Corporation ( NYSE:ORCL ) reflect what it's really worth? Today, we will...",https://finnhub.io/api/news?id=ffe8d3346d0b575fa26bf1b482ea25f39a08cd290f1e5327ebbeff7b986aeb9a
company,1629131220,Oracle Named a Leader in Augmented BI Platforms Q3 2021 Analyst Report,69682980,https://s.yimg.com/uu/api/res/1.2/oslYb_NGAhmY9yVtgGUzpg--~B/aD0xMjQ7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/fcf15a6fea0a84d064ee90bccdfcf4cb,ORCL,Yahoo,"Oracle today announced that it has been recognized as a Leader in The Forrester Wave™: Augmented BI Platforms, Q3 2021.",https://finnhub.io/api/news?id=cd2fdb71f9b6ef1d1817330508de050e32b58a0786e64816d99c88eea85cf710
company,1629117540,"Bailard, Inc. Buys Invesco Optimum Yield Diversified Commodity, Janus Henderson Mortgage-Backed Securities ETF, JPMorgan Ultra-Short Municipal Income ETF, Sells iShares MSCI Emerging Markets ETF, SPDR Nuveen Bloomberg Barclays Short Term Municipa, ISHARES",69695705,,ORCL,GuruFocus,,https://finnhub.io/api/news?id=88fac298b878798c04e59e6ca708bafdc921a9801b73fc442b7134cee5b0e72e
company,1629116820,Oracle Named a Leader in Augmented BI Platforms Q3 2021 Analyst Report,69681688,,ORCL,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ba33aefcacc0f4bf4150a2a6fb58ac0f39a250c87c1d79ed924c81e7575a8c4a
company,1629113940,"AlphaCrest Capital Management LLC Buys UnitedHealth Group Inc, Fiserv Inc, Oracle Corp, Sells Nike Inc, Morgan Stanley, Merck Inc",69695788,,ORCL,GuruFocus,,https://finnhub.io/api/news?id=cfffdb603b34c196045bca445943036aed750bdfdbbcfc3084ed495fe53fe39b
company,1629113940,"Mather Group, Inc. Buys Vanguard Intermediate-Term Government Bond ETF, Vanguard Long-Term Government Bond ETF, Dimensional U.S. Core Equity 2 ETF, Sells Apple Inc, iShares Core U.S. Aggregate Bond ETF, iShares S&P 500 Growth ETF",69694908,,ORCL,GuruFocus,,https://finnhub.io/api/news?id=7e722d4e8b43b5483d60ce81c82f02b1e4abef247b5ae038455522a3ac7e6bd5
company,1629113940,"White Pine Capital Llc Buys BTC BlackRock Short Maturity Bond ETF, Innovator S&P Investment Grade Preferred ETF, Communications Systems Inc, Sells Ferro Corp, Meridian Bancorp Inc, Boingo Wireless Inc",69695974,,ORCL,GuruFocus,,https://finnhub.io/api/news?id=5e489456609e431fd2bcdff91266901a6ad5086a642b47de3dc9240e361c69a6
company,1629092340,"TrinityPoint Wealth, LLC Buys NETLease Corporate Real Estate ETF, Wynn Resorts, Horizon Kinetics Inflation Beneficiaries ETF, Sells Industrial Select Sector SPDR, iShares Gold Trust, Caterpillar Inc",69694253,,ORCL,GuruFocus,,https://finnhub.io/api/news?id=18af7230209752fa5f3fb15fccf3b8e736cf80b8fa99769baba0f3159dcd82fd
company,1629086100,Here's Another Reason to Like Oracle Stock Right Now,69695050,https://investorplace.com/wp-content/uploads/2019/08/orcl-stock-2.jpg,ORCL,InvestorPlace,Oracle is making waves with some new cloud features that it hopes will put its rivals to shame. Here's what it means for ORCL stock.,https://finnhub.io/api/news?id=4d601079803ca47ad3002a06b32af0a691ad84ef20d23b9393bb095089dcd5d0
company,1628874840,Oracle Corp. stock outperforms market on strong trading day,69672156,https://images.mktw.net/im-220105/social,ORCL,MarketWatch,"Shares of Oracle Corp. inched 0.63% higher to $90.38 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=9b581cd91faaf37787484ea5dedb14e1cbb9ca6df80e7e8ccb1f0073b6970e26
company,1628864866,Forget Netflix (NFLX): 10 Better Streaming Stocks to Buy Now,69654074,https://s.yimg.com/uu/api/res/1.2/lAbiN4o__S.CLHTmAjOibw--~B/aD01MTI7dz03Njg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/1c9da002328d6f4dc4c8ab8cf48a9d5a,ORCL,Yahoo,"In this article, we discuss the 10 streaming stocks to buy now. If you want to skip our detailed analysis of these stocks, go directly to Forget Netflix: 5 Streaming Stocks to Buy Now. The rise of over-the-top (OTT) media services has transformed the entertainment industry in recent years. The television-based model has undergone a […]",https://finnhub.io/api/news?id=5fa660486799fd169c54db96ebca4bbbf53bee753e388e68a137fe8fc3023763
company,1628854620,I'm Buying More of This Stock Before It's Too Late,69654165,,ORCL,Yahoo,"Next-generation database software maker MongoDB (NASDAQ: MDB) is already a fantastic performer in my personal stock portfolio.  Share prices have more than tripled since I opened my MongoDB position in the spring of 2020.  At the same time, the stock is coming back from a recent plunge, and I really want to boost my MongoDB position before the discount fades away.",https://finnhub.io/api/news?id=1cc064f1c2cfade0ca89da25db8f69151fc5d5793ebc047ab97b09770f831fcd
company,1628849640,Stocks That Hit 52-Week Highs On Friday,69654377,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,ORCL,Benzinga," 
 
During Friday's morning session, 137 companies made new 52-week highs.
Areas of Significance:

Johnson & Johnson (NYSE:JNJ) was the largest company by market...",https://finnhub.io/api/news?id=919cfcf8895b927cd8d83d2ddf6a052a70eae18899fc75129ed7e7bc069e8da4
company,1628788440,"Oracle Corp. stock rises Thursday, still underperforms market",69672157,https://images.mktw.net/im-220105/social,ORCL,MarketWatch,"Shares of Oracle Corp. inched 0.20% higher to $89.81 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=e376f3ca269af6bac56fede184793df8812d2c06ca3a62e4b050c922c6cbad9e
company,1628769600,Vertex Continues Industry Leadership with Oracle as a Preferred Cloud Infrastructure Partner,69633681,https://s.yimg.com/uu/api/res/1.2/oslYb_NGAhmY9yVtgGUzpg--~B/aD0xMjQ7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/fcf15a6fea0a84d064ee90bccdfcf4cb,ORCL,Yahoo,"Oracle today announced that Vertex, Inc. (NASDAQ: VERX), a strategic partner and trusted global provider of indirect tax technology solutions, has seen a significant increase in customer adoption on Oracle Cloud Infrastructure (OCI) over the last 12 months. Joint global customers leveraging Vertex Indirect Tax O Series solutions integrated with their Oracle applications have seen a 35 percent performance boost on OCI versus other environments.",https://finnhub.io/api/news?id=0b374f6c376f1f0421a84a32fb8be292ccf40eb91e893402cbaa560338cd0959
company,1628755200,Vertex Continues Industry Leadership with Oracle as a Preferred Cloud Infrastructure Partner,69632879,,ORCL,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=966e51e98565dc660d59a2dd2da17b280ab2658ffc7954108315586546d54b1d
